group,sample_id,row,col,data_kind
random_sparse,SYN0011,23,277,synthetic
random_sparse,SYN0011,29,299,synthetic
random_sparse,SYN0011,67,1007,synthetic
random_sparse,SYN0011,314,61,synthetic
random_sparse,SYN0011,314,620,synthetic
random_sparse,SYN0011,354,6,synthetic
random_sparse,SYN0011,406,34,synthetic
random_sparse,SYN0011,418,707,synthetic
random_sparse,SYN0011,430,254,synthetic
random_sparse,SYN0011,483,318,synthetic
random_sparse,SYN0011,590,1019,synthetic
random_sparse,SYN0011,646,580,synthetic
random_sparse,SYN0011,666,107,synthetic
random_sparse,SYN0011,886,576,synthetic
random_sparse,SYN0011,943,811,synthetic
random_sparse,SYN0011,1000,267,synthetic
random_sparse,SYN0012,0,375,synthetic
random_sparse,SYN0012,27,970,synthetic
random_sparse,SYN0012,144,289,synthetic
random_sparse,SYN0012,244,664,synthetic
random_sparse,SYN0012,246,801,synthetic
random_sparse,SYN0012,257,673,synthetic
random_sparse,SYN0012,317,913,synthetic
random_sparse,SYN0012,366,246,synthetic
random_sparse,SYN0012,399,227,synthetic
random_sparse,SYN0012,533,849,synthetic
random_sparse,SYN0012,592,560,synthetic
random_sparse,SYN0012,768,6,synthetic
random_sparse,SYN0012,801,142,synthetic
random_sparse,SYN0012,848,559,synthetic
random_sparse,SYN0012,938,470,synthetic
random_sparse,SYN0013,212,198,synthetic
random_sparse,SYN0013,249,960,synthetic
random_sparse,SYN0013,343,238,synthetic
random_sparse,SYN0013,345,416,synthetic
random_sparse,SYN0013,448,83,synthetic
random_sparse,SYN0013,628,114,synthetic
random_sparse,SYN0013,672,723,synthetic
random_sparse,SYN0013,703,0,synthetic
random_sparse,SYN0013,754,816,synthetic
random_sparse,SYN0013,813,739,synthetic
random_sparse,SYN0013,886,777,synthetic
random_sparse,SYN0013,930,485,synthetic
random_sparse,SYN0013,943,644,synthetic
random_sparse,SYN0013,947,1010,synthetic
random_sparse,SYN0013,1001,948,synthetic
random_sparse,SYN0014,28,164,synthetic
random_sparse,SYN0014,92,714,synthetic
random_sparse,SYN0014,290,44,synthetic
random_sparse,SYN0014,317,549,synthetic
random_sparse,SYN0014,430,512,synthetic
random_sparse,SYN0014,528,789,synthetic
random_sparse,SYN0014,886,0,synthetic
random_sparse,SYN0014,918,427,synthetic
random_sparse,SYN0014,989,13,synthetic
random_sparse,SYN0015,48,560,synthetic
random_sparse,SYN0015,58,868,synthetic
random_sparse,SYN0015,271,201,synthetic
random_sparse,SYN0015,275,192,synthetic
random_sparse,SYN0015,518,971,synthetic
random_sparse,SYN0015,636,271,synthetic
random_sparse,SYN0015,798,137,synthetic
random_sparse,SYN0015,821,38,synthetic
