group,sample_id,fail_count,data_kind
zero,SYN0001,0,synthetic
zero,SYN0002,0,synthetic
zero,SYN0003,0,synthetic
zero,SYN0004,0,synthetic
zero,SYN0005,0,synthetic
zero,SYN0006,0,synthetic
zero,SYN0007,0,synthetic
zero,SYN0008,0,synthetic
zero,SYN0009,0,synthetic
zero,SYN0010,0,synthetic
random_sparse,SYN0011,16,synthetic
random_sparse,SYN0012,15,synthetic
random_sparse,SYN0013,15,synthetic
random_sparse,SYN0014,9,synthetic
random_sparse,SYN0015,10,synthetic
random_sparse,SYN0016,16,synthetic
random_sparse,SYN0017,12,synthetic
random_sparse,SYN0018,5,synthetic
random_sparse,SYN0019,14,synthetic
random_sparse,SYN0020,13,synthetic
random_sparse,SYN0021,16,synthetic
random_sparse,SYN0022,1,synthetic
random_sparse,SYN0023,16,synthetic
random_sparse,SYN0024,8,synthetic
random_sparse,SYN0025,2,synthetic
random_sparse,SYN0026,14,synthetic
random_sparse,SYN0027,9,synthetic
random_sparse,SYN0028,3,synthetic
random_sparse,SYN0029,6,synthetic
random_sparse,SYN0030,3,synthetic
random_dense,SYN0031,56,synthetic
random_dense,SYN0032,40,synthetic
random_dense,SYN0033,50,synthetic
random_dense,SYN0034,108,synthetic
random_dense,SYN0035,46,synthetic
random_dense,SYN0036,38,synthetic
random_dense,SYN0037,127,synthetic
random_dense,SYN0038,128,synthetic
random_dense,SYN0039,123,synthetic
random_dense,SYN0040,78,synthetic
row_concentrated,SYN0041,69,synthetic
row_concentrated,SYN0042,186,synthetic
row_concentrated,SYN0043,161,synthetic
row_concentrated,SYN0044,101,synthetic
row_concentrated,SYN0045,79,synthetic
row_concentrated,SYN0046,153,synthetic
row_concentrated,SYN0047,166,synthetic
row_concentrated,SYN0048,72,synthetic
row_concentrated,SYN0049,114,synthetic
row_concentrated,SYN0050,113,synthetic
row_concentrated,SYN0051,125,synthetic
row_concentrated,SYN0052,157,synthetic
row_concentrated,SYN0053,113,synthetic
row_concentrated,SYN0054,141,synthetic
row_concentrated,SYN0055,128,synthetic
column_concentrated,SYN0056,192,synthetic
column_concentrated,SYN0057,183,synthetic
column_concentrated,SYN0058,190,synthetic
column_concentrated,SYN0059,138,synthetic
column_concentrated,SYN0060,192,synthetic
column_concentrated,SYN0061,65,synthetic
column_concentrated,SYN0062,121,synthetic
column_concentrated,SYN0063,104,synthetic
column_concentrated,SYN0064,77,synthetic
column_concentrated,SYN0065,190,synthetic
column_concentrated,SYN0066,164,synthetic
column_concentrated,SYN0067,99,synthetic
column_concentrated,SYN0068,119,synthetic
column_concentrated,SYN0069,156,synthetic
column_concentrated,SYN0070,113,synthetic
local_cluster,SYN0071,54,synthetic
local_cluster,SYN0072,113,synthetic
local_cluster,SYN0073,68,synthetic
local_cluster,SYN0074,96,synthetic
local_cluster,SYN0075,64,synthetic
local_cluster,SYN0076,84,synthetic
local_cluster,SYN0077,52,synthetic
local_cluster,SYN0078,48,synthetic
local_cluster,SYN0079,68,synthetic
local_cluster,SYN0080,75,synthetic
mixed,SYN0081,293,synthetic
mixed,SYN0082,271,synthetic
mixed,SYN0083,222,synthetic
mixed,SYN0084,170,synthetic
mixed,SYN0085,164,synthetic
mixed,SYN0086,245,synthetic
mixed,SYN0087,280,synthetic
mixed,SYN0088,261,synthetic
mixed,SYN0089,226,synthetic
mixed,SYN0090,257,synthetic
full_row,SYN0091,1024,synthetic
full_row,SYN0092,1024,synthetic
full_row,SYN0093,1024,synthetic
full_row,SYN0094,1024,synthetic
full_row,SYN0095,1024,synthetic
full_column,SYN0096,1024,synthetic
full_column,SYN0097,1024,synthetic
full_column,SYN0098,1024,synthetic
full_column,SYN0099,1024,synthetic
full_column,SYN0100,1024,synthetic
